"V1","V2","V3","parameter","yearID"
0.421681780708986,0.390766694146744,0.390766694146744,"mean",1
0.432811211871393,0.392415498763397,0.392415498763397,"mean",2
0.424567188788129,0.384995877988458,0.384995877988458,"mean",3
0.413849958779885,0.370981038746908,0.370981038746908,"mean",4
0.404781533388293,0.360263808738664,0.360263808738664,"mean",5
0.39159109645507,0.352844187963726,0.352844187963726,"mean",6
0.394888705688376,0.350370981038747,0.350370981038747,"mean",7
0.395713107996702,0.352431986809563,0.352431986809563,"mean",8
0.401483924154988,0.3520197856554,0.3520197856554,"mean",9
0.427040395713108,0.3800494641385,0.3800494641385,"mean",10
0.460840890354493,0.408079142621599,0.408079142621599,"mean",11
0.474031327287716,0.436933223413026,0.436933223413026,"mean",12
0.516075845012366,0.482275350370981,0.482275350370981,"mean",13
0.528854080791426,0.509480626545754,0.509480626545754,"mean",14
0.55234954657873,0.535861500412201,0.535861500412201,"mean",15
0.549876339653751,0.538334707337181,0.538334707337181,"mean",16
0.537510305028854,0.525968672712284,0.525968672712284,"mean",17
0.503709810387469,0.486809563066777,0.486809563066777,"mean",18
0.482275350370981,0.461665292662819,0.461665292662819,"mean",19
0.475680131904369,0.462489694971146,0.462489694971146,"mean",20
0.532563891178895,0.520197856553998,0.520197856553998,"mean",21
0.559769167353669,0.555647155812036,0.555647155812036,"mean",22
0.627370156636439,0.612530915086562,0.612530915086562,"mean",23
0.641384995877988,0.63396537510305,0.63396537510305,"mean",24
0.582028029678483,0.584501236603463,0.584501236603463,"mean",25
0.530915086562242,0.535861500412201,0.535861500412201,"mean",26
0.491343775762572,0.497938994229184,0.497938994229184,"mean",27
0.482275350370981,0.48474855729596,0.48474855729596,"mean",28
0.488870568837593,0.488046166529266,0.488046166529266,"mean",29
0.45919208573784,0.470733718054411,0.470733718054411,"mean",30
0.497114591920857,0.503709810387469,0.503709810387469,"mean",31
0.569661995053586,0.565539983511954,0.565539983511954,"mean",32
0.557295960428689,0.565539983511954,0.565539983511954,"mean",33
0.561417971970322,0.56636438582028,0.56636438582028,"mean",34
0.586150041220115,0.577081615828524,0.577081615828524,"mean",35
0.541632316570486,0.533388293487222,0.533388293487222,"mean",36
0.483099752679307,0.474855729596043,0.474855729596043,"mean",37
0.432811211871393,0.420445177246496,0.420445177246496,"mean",38
0.386644682605111,0.376751854905194,0.376751854905194,"mean",39
0.403132728771641,0.403132728771641,0.403132728771641,"mean",40
0.392415498763397,0.400659521846661,0.400659521846661,"mean",41
0.394888705688376,0.395713107996702,0.395713107996702,"mean",42
0.406430338004946,0.406430338004946,0.406430338004946,"mean",43
0.418796372629843,0.421269579554823,0.421269579554823,"mean",44
